Date,ADBE,ADSK,ANSS,CRM,CRWD,DDOG,INTU,MDB,MSFT,NOW,ORCL,PANW,SAP,SHOP,SNOW,TEAM
2021-10-04,558.489990234375,272.92999267578125,,268.0404357910156,238.8800048828125,137.10000610351562,512.205078125,444.9700012207031,273.94390869140625,,84.39291381835938,78.25666809082031,125.11337280273438,131.49000549316406,294.67999267578125,382.7099914550781
2021-10-05,566.7000122070312,275.9800109863281,,268.9409484863281,244.9199981689453,141.88999938964844,520.0048217773438,452.67999267578125,279.4109802246094,,86.50130462646484,79.26499938964844,124.78602600097656,131.80799865722656,300.2799987792969,389.94000244140625
2021-10-06,570.3099975585938,277.4200134277344,,272.404541015625,248.1999969482422,143.30999755859375,521.2333374023438,466.239990234375,283.6200866699219,,86.3594741821289,81.02166748046875,126.9652328491211,134.98800659179688,309.6199951171875,395.19000244140625
2021-10-07,578.9600219726562,283.0199890136719,,271.72174072265625,249.8800048828125,142.10000610351562,524.9430541992188,472.8699951171875,285.3038024902344,,87.27659606933594,82.27999877929688,126.88106536865234,139.85000610351562,320.04998779296875,392.9800109863281
2021-10-08,576.8599853515625,278.94000244140625,,269.64361572265625,245.0,140.32000732421875,518.4901733398438,449.0,285.3038024902344,,89.5536117553711,82.13166809082031,126.6753158569336,137.80299377441406,313.5199890136719,390.739990234375
2021-10-11,573.0700073242188,276.5400085449219,,270.900390625,244.36000061035156,141.9600067138672,512.9159545898438,454.20001220703125,284.70391845703125,,90.40750885009766,83.30166625976562,126.3759994506836,135.7010040283203,309.7900085449219,389.5
2021-10-12,580.6900024414062,275.9100036621094,,276.095703125,252.74000549316406,145.58999633789062,514.5170288085938,470.94000244140625,283.3975830078125,,90.67314910888672,84.2066650390625,125.917724609375,135.7220001220703,312.94000244140625,397.4700012207031
2021-10-13,591.1199951171875,283.45001220703125,,281.4494323730469,270.44000244140625,155.88999938964844,522.2193603515625,494.0199890136719,286.716552734375,,91.46062469482422,84.0816650390625,132.48342895507812,139.89700317382812,327.8500061035156,407.0400085449219
2021-10-14,607.510009765625,289.1700134277344,,287.0009765625,276.010009765625,153.36000061035156,530.8489990234375,489.29998779296875,292.94805908203125,,90.39800262451172,83.83000183105469,135.65406799316406,140.6750030517578,332.1199951171875,406.7300109863281
2021-10-15,610.0900268554688,291.19000244140625,,288.6239013671875,273.1099853515625,154.47999572753906,539.0299072265625,491.80999755859375,294.3607482910156,,90.44544982910156,84.64167022705078,136.57998657226562,142.45799255371094,333.57000732421875,409.739990234375
2021-10-18,622.8300170898438,292.6700134277344,,288.6634826660156,285.3500061035156,157.4199981689453,551.1351318359375,503.9599914550781,297.341064453125,,91.56499481201172,85.86166381835938,135.9626922607422,146.51100158691406,337.8800048828125,414.7699890136719
2021-10-19,636.0700073242188,296.69000244140625,,289.29681396484375,282.3500061035156,157.94000244140625,559.1791381835938,508.010009765625,298.25054931640625,,92.0867919921875,85.41500091552734,135.07418823242188,148.57400512695312,339.739990234375,410.4599914550781
2021-10-20,632.3699951171875,298.6400146484375,,287.0702209472656,283.3299865722656,158.85000610351562,556.963134765625,504.5,297.4571838378906,,91.68832397460938,85.31999969482422,134.35400390625,148.7469940185547,334.1300048828125,409.69000244140625
2021-10-21,638.6599731445312,305.67999267578125,,286.793212890625,284.1000061035156,160.9199981689453,564.5971069335938,509.42999267578125,300.69873046875,,91.3657455444336,84.66666412353516,130.43515014648438,149.67100524902344,342.04998779296875,417.1199951171875
2021-10-22,643.5800170898438,308.5799865722656,,289.5145263671875,283.3900146484375,162.38999938964844,576.7509765625,504.8900146484375,299.1505432128906,,93.21583557128906,84.02166748046875,132.60504150390625,142.5850067138672,339.7799987792969,423.20001220703125
2021-10-25,646.969970703125,311.7900085449219,,290.86041259765625,280.1000061035156,161.5800018310547,588.2313842773438,518.8699951171875,298.1539001464844,,92.87428283691406,82.961669921875,135.35476684570312,142.51600646972656,341.5,429.010009765625
2021-10-26,642.5,312.79998779296875,,292.0379943847656,287.0799865722656,163.8699951171875,594.1375122070312,501.67999267578125,300.06976318359375,,92.01090240478516,81.09166717529297,136.2993927001953,136.3699951171875,342.239990234375,424.5199890136719
2021-10-27,640.0800170898438,308.510009765625,,292.0776062011719,279.0,157.08999633789062,598.5501098632812,497.9599914550781,312.7068786621094,,91.10958862304688,82.1433334350586,135.50442504882812,136.11199951171875,347.1000061035156,412.8800048828125
2021-10-28,639.280029296875,317.1000061035156,,295.2739562988281,281.1700134277344,161.0,600.7758178710938,504.6199951171875,313.8486633300781,,91.29934692382812,83.06500244140625,137.9268035888672,145.6999969482422,348.0,417.3299865722656
